date, pm25, pm10, o3, no2
2025/11/1, 27, 13, , 1
2025/11/2, 42, 11, , 2
2025/11/3, 32, 6, , 2
2025/11/4, 16, , , 
2025/10/1, 20, 11, , 6
2025/10/2, 35, 7, , 1
2025/10/3, 20, 6, , 
2025/10/4, 17, 10, , 
2025/10/5, 29, 6, , 5
2025/10/6, 15, 8, , 3
2025/10/7, 26, 13, , 4
2025/10/8, 30, 15, , 5
2025/10/9, 33, 18, , 1
2025/10/10, 43, 16, , 
2025/10/11, 36, 8, , 5
2025/10/12, 16, 15, , 13
2025/10/13, 24, 12, , 10
2025/10/14, 24, 12, , 7
2025/10/15, 36, 12, , 8
2025/10/16, 28, 10, , 8
2025/10/17, 18, 7, , 6
2025/10/18, 19, 6, , 1
2025/10/19, 19, 5, , 2
2025/10/20, 14, 11, , 1
2025/10/21, 41, 12, , 1
2025/10/22, 40, 6, , 1
2025/10/23, 17, 7, , 1
2025/10/24, 19, 8, , 1
2025/10/25, 22, 6, , 
2025/10/26, 20, 6, , 7
2025/10/27, 14, 9, , 6
2025/10/28, 18, 11, , 4
2025/10/29, 31, 4, , 4
2025/10/30, 10, 8, , 7
2025/10/31, 12, 8, , 1
2025/7/1, 49, 15, , 3
2025/7/2, 35, 14, , 1
2025/7/3, 34, 12, , 1
2025/7/4, 31, 7, , 
2025/7/5, 25, 11, , 1
2025/7/6, 31, 7, , 2
2025/7/7, 15, 6, , 1
2025/7/8, 11, 12, , 3
2025/7/9, 30, 14, , 5
2025/7/10, 34, 11, , 2
2025/7/11, 23, 11, , 
2025/7/12, 32, 8, , 
2025/7/13, 24, 12, , 1
2025/7/14, 30, 13, , 5
2025/7/15, 39, 14, , 3
2025/7/16, 41, 12, , 1
2025/7/17, 37, 15, , 3
2025/7/18, 46, 16, , 3
2025/7/19, 54, 18, , 5
2025/7/20, 60, 15, , 2
2025/7/21, 48, 13, , 1
2025/7/22, 40, 11, , 1
2025/7/23, 37, 17, , 2
2025/7/24, 53, 16, , 4
2025/7/25, 47, 14, , 1
2025/7/26, 42, 8, , 
2025/7/27, 21, 13, , 1
2025/7/28, 35, 11, , 1
2025/7/29, 29, 9, , 
2025/7/30, 23, 6, , 2
2025/7/31, 18, 8, , 2
2025/8/1, 27, 10, , 2
2025/8/2, 32, 5, , 
2025/8/3, 15, 8, , 
2025/8/4, 25, 16, , 2
2025/8/5, 34, 19, , 1
2025/8/6, 39, 15, , 1
2025/8/7, 40, 15, , 2
2025/8/8, 43, 11, , 1
2025/8/9, 29, 16, , 
2025/8/10, 39, 14, , 1
2025/8/11, 35, 11, , 2
2025/8/12, 32, 11, , 5
2025/8/13, 32, 16, , 3
2025/8/14, 36, 19, , 5
2025/8/15, 47, 7, , 1
2025/8/16, 16, 4, , 2
2025/8/17, 7, 8, , 6
2025/8/18, 16, 10, , 2
2025/8/19, 23, 7, , 3
2025/8/20, 10, 8, , 3
2025/8/21, 12, 8, , 4
2025/8/22, 20, 4, , 3
2025/8/23, 9, 6, , 2
2025/8/24, 16, 9, , 6
2025/8/25, 13, 10, , 6
2025/8/26, 22, 6, , 1
2025/8/27, 14, 15, , 3
2025/8/28, 39, 17, , 2
2025/8/29, 52, 12, , 1
2025/8/30, 41, 10, , 1
2025/8/31, 32, 8, , 
2025/9/1, 21, 8, , 5
2025/9/2, 24, 9, , 1
2025/9/3, 26, 11, , 
2025/9/4, 29, 9, , 2
2025/9/5, 29, 8, , 3
2025/9/6, 21, 7, , 4
2025/9/7, 18, 9, , 6
2025/9/8, 23, 14, , 6
2025/9/9, 41, 16, , 
2025/9/10, 43, 10, , 1
2025/9/11, 35, 10, , 
2025/9/12, 25, 8, , 
2025/9/13, 23, 4, , 
2025/9/14, 13, 8, , 1
2025/9/15, 22, 11, , 3
2025/9/16, 25, 14, , 1
2025/9/17, 28, 13, , 3
2025/9/18, 32, 17, , 4
2025/9/19, 44, 15, , 1
2025/9/20, 47, 13, , 1
2025/9/21, 37, 9, , 1
2025/9/22, 18, 15, , 8
2025/9/23, 30, 9, , 9
2025/9/24, 18, 11, , 8
2025/9/25, 21, 7, , 7
2025/9/26, 15, 5, , 3
2025/9/27, 10, 5, , 3
2025/9/28, 13, 5, , 1
2025/9/29, 10, 6, , 4
2025/9/30, 13, 7, , 5
2025/4/2, 31, 34, , 14
2025/4/3, 43, 15, , 4
2025/4/4, 19, 9, , 1
2025/4/5, 9, 16, , 7
2025/4/6, 23, 20, , 9
2025/4/7, 24, 28, , 19
2025/4/8, 29, 22, , 9
2025/4/9, 27, 24, , 5
2025/4/10, 34, 18, , 7
2025/4/11, 37, 14, , 7
2025/4/12, 40, 17, , 3
2025/4/13, 46, 16, , 5
2025/4/14, 51, 13, , 5
2025/4/15, 32, 21, , 6
2025/4/16, 52, 25, , 9
2025/4/17, 60, 9, , 3
2025/4/18, 29, 8, , 3
2025/4/19, 26, 3, , 3
2025/4/20, 10, 3, , 2
2025/4/21, 7, 15, , 4
2025/4/22, 49, 8, , 4
2025/4/23, 24, 7, , 8
2025/4/24, 15, 6, , 2
2025/4/25, 9, 7, , 6
2025/4/26, 18, 14, , 3
2025/4/27, 42, 15, , 5
2025/4/28, 41, 12, , 4
2025/4/29, 27, 12, , 4
2025/4/30, 30, 18, , 3
2025/5/1, 54, 18, , 3
2025/5/2, 47, 11, , 1
2025/5/3, 24, 6, , 1
2025/5/4, 9, 12, , 6
2025/5/5, 20, 15, , 4
2025/5/6, 22, 12, , 6
2025/5/7, 18, 15, , 8
2025/5/8, 25, 15, , 7
2025/5/9, 37, 14, , 4
2025/5/10, 41, 9, , 2
2025/5/11, 27, 10, , 5
2025/5/12, 21, 12, , 4
2025/5/13, 27, 21, , 5
2025/5/14, 28, 15, , 2
2025/5/15, 20, 12, , 3
2025/5/16, 14, 8, , 2
2025/5/17, 13, 7, , 1
2025/5/18, 11, 12, , 4
2025/5/19, 17, 18, , 7
2025/5/20, 40, 16, , 3
2025/5/21, 33, 4, , 2
2025/5/22, 5, 7, , 2
2025/5/23, 21, 9, , 1
2025/5/24, 28, 7, , 2
2025/5/25, 23, 13, , 3
2025/5/26, 35, 12, , 3
2025/5/27, 32, 12, , 4
2025/5/28, 31, 11, , 3
2025/5/29, 28, 9, , 5
2025/5/30, 23, 10, , 5
2025/5/31, 27, 10, , 3
2025/6/1, 31, 12, , 4
2025/6/2, 30, 12, , 3
2025/6/3, 31, 11, , 2
2025/6/4, 35, 12, , 2
2025/6/5, 34, 6, , 2
2025/6/6, 18, 10, , 1
2025/6/7, 27, 6, , 3
2025/6/8, 19, 12, , 2
2025/6/9, 25, 17, , 2
2025/6/10, 53, 11, , 2
2025/6/11, 39, 10, , 6
