date, pm25, pm10, no2
2025/11/1, 26, 10, 3
2025/11/2, 26, 9, 4
2025/11/3, 20, 11, 3
2025/11/4, 29, 10, 5
2025/11/5, 28, 15, 8
2025/11/6, 33, 21, 5
2025/11/7, 52, 24, 4
2025/11/8, 67, 16, 3
2025/11/9, 48, 17, 4
2025/11/10, 45, 13, 4
2025/11/11, 40, 12, 3
2025/11/12, 35, 6, 7
2025/11/13, 20, 8, 14
2025/11/14, 15, 8, 9
2025/11/15, 18, 8, 10
2025/11/16, 18, 18, 18
2025/11/17, 23, 9, 11
2025/11/18, 21, , 
2025/10/1, 17, 10, 6
2025/10/2, 26, 7, 1
2025/10/3, 18, 7, 
2025/10/4, 16, 8, 
2025/10/5, 18, 7, 10
2025/10/6, 13, 7, 5
2025/10/7, 19, 12, 6
2025/10/8, 24, 14, 4
2025/10/9, 30, 19, 6
2025/10/10, 39, 15, 6
2025/10/11, 29, 9, 6
2025/10/12, 16, 15, 13
2025/10/13, 21, 13, 13
2025/10/14, 23, 11, 8
2025/10/15, 25, 16, 12
2025/10/16, 22, 11, 11
2025/10/17, 17, 8, 7
2025/10/18, 14, 5, 2
2025/10/19, 9, 7, 2
2025/10/20, 15, 12, 2
2025/10/21, 42, 10, 3
2025/10/22, 32, 6, 3
2025/10/23, 15, 6, 3
2025/10/24, 15, 9, 1
2025/10/25, 20, 4, 1
2025/10/26, 10, 8, 10
2025/10/27, 11, 11, 6
2025/10/28, 17, 14, 6
2025/10/29, 21, 4, 11
2025/10/30, 8, 9, 9
2025/10/31, 12, 8, 2
2025/7/1, 44, 15, 6
2025/7/2, 32, 15, 5
2025/7/3, 30, 11, 7
2025/7/4, 22, 7, 1
2025/7/5, 20, 9, 1
2025/7/6, 23, 7, 8
2025/7/7, 14, 7, 6
2025/7/8, 11, 13, 8
2025/7/9, 26, 15, 7
2025/7/10, 31, 17, 4
2025/7/11, 26, 14, 1
2025/7/12, 35, 9, 1
2025/7/13, 24, 12, 3
2025/7/14, 29, 13, 6
2025/7/15, 36, 13, 4
2025/7/16, 42, 17, 2
2025/7/17, 43, 15, 5
2025/7/18, 45, 18, 5
2025/7/19, 53, 21, 6
2025/7/20, 59, 16, 3
2025/7/21, 47, 15, 2
2025/7/22, 42, 15, 2
2025/7/23, 40, 17, 3
2025/7/24, 51, 17, 5
2025/7/25, 45, 15, 1
2025/7/26, 43, 9, 1
2025/7/27, 19, 12, 2
2025/7/28, 28, 11, 3
2025/7/29, 24, 11, 1
2025/7/30, 22, 8, 4
2025/7/31, 17, 11, 6
2025/8/1, 22, 9, 4
2025/8/2, 25, 4, 1
2025/8/3, 13, 6, 1
2025/8/4, 13, 19, 
2025/8/5, 34, 20, 2
2025/8/6, 37, 14, 2
2025/8/7, 33, 15, 5
2025/8/8, 37, 10, 2
2025/8/9, 22, 15, 3
2025/8/10, 35, 12, 4
2025/8/11, 27, 10, 5
2025/8/12, 26, 14, 10
2025/8/13, 31, 15, 7
2025/8/14, 35, 18, 5
2025/8/15, 46, 11, 4
2025/8/16, 14, 8, 3
2025/8/17, 9, 11, 5
2025/8/18, 13, 15, 6
2025/8/19, 25, 15, 9
2025/8/20, 11, 13, 7
2025/8/21, 16, 10, 8
2025/8/22, 10, 8, 5
2025/8/23, 8, 8, 4
2025/8/24, 11, 23, 11
2025/8/25, 23, 19, 7
2025/8/26, 23, 8, 3
2025/8/27, 14, 18, 5
2025/8/28, 39, 17, 3
2025/8/29, 47, 11, 2
2025/8/30, 35, 9, 2
2025/8/31, 26, 9, 1
2025/9/1, 22, 9, 5
2025/9/2, 21, 10, 4
2025/9/3, 20, 11, 2
2025/9/4, 22, 9, 5
2025/9/5, 24, 8, 3
2025/9/6, 16, 6, 5
2025/9/7, 14, 9, 10
2025/9/8, 21, 15, 10
2025/9/9, 41, 18, 14
2025/9/10, 44, 10, 7
2025/9/11, 31, 9, 2
2025/9/12, 18, 7, 4
2025/9/13, 15, 4, 1
2025/9/14, 11, 7, 2
2025/9/15, 15, 12, 3
2025/9/16, 24, 14, 3
2025/9/17, 25, 13, 2
2025/9/18, 30, 16, 2
2025/9/19, 39, 14, 2
2025/9/20, 40, 14, 1
2025/9/21, 34, 13, 6
2025/9/22, 15, 15, 9
2025/9/23, 29, 14, 10
2025/9/24, 17, 15, 12
2025/9/25, 20, 10, 10
2025/9/26, 16, 9, 6
2025/9/27, 15, 6, 2
2025/9/28, 13, 6, 3
2025/9/29, 10, 7, 9
2025/9/30, 11, 8, 6
2025/4/2, 56, 63, 12
2025/4/3, 60, 21, 5
2025/4/4, 21, 16, 2
2025/4/5, 14, 21, 11
